plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
bermudagrass,Red thread,Laetisaria fuciformis,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disredthread.jpg,"red fescue, perennial ryegrass","red thread may kill grass in circular to irregular patches 2 to 8 inches (5 - 20 cm) in diameter or it may weaken turf. leaves turn tan in color, giving the turf a scorched appearance. infections on leaves begin at the tip and move down the blade. a pink web of fungal threads binds the leaves together. pink, gelatinous fungal crusts occur on the leaves.",red thread is favored by mild air temperatures (60° to 75°f) and extended periods of leaf wetness. plants deficient in nitrogen during periods of cool temperatures or excess wetness can make the turf more susceptible to infection. in california it occurs primarily in northern and central coastal areas.,follow proper irrigation and fertilization requirements for your turf species. provide adequate air circulation and reduce shading. fungicides should not be needed.,,,,,,,
bermudagrass,"Rhizoctonia blight (brown patch, large patch)",Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bermudagrass,Spring dead spot,Ophiosphaerella korrae,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disspring.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disspringstem.jpg,bermudagrass,"spring dead spot appears in the lawn as circular areas of dead grass 6 to 12 inches (15 - 30 cm) wide. spots coalesce to form large areas. dark sclerotia are often visible on stolons of affected plants. sunken lesions can be seen on affected crown buds, roots, and stolons.","the spring dead spot fungus colonizes dormant plants and grows most rapidly when temperatures are 50° to 57°f. however, damage is usually visible only after the grass emerges from dormancy in the spring and healthy portions start to turn green. a thick thatch layer and low mowing height also contribute to the development of the disease. spring dead spot survives as sclerotia in the soil and in infected plant parts.",remove dead grass. fertilize in the summer to maintain vigor but be careful to not overfertilize in late summer. follow irrigation recommendations for your area and sprinkler output. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm) thick. raise your mowing height in late summer or early fall to reduce pre-dormancy stress. overseeding with ryegrass in the fall may be beneficial. fungicides are available but generally not needed.,,,,,,,
black-eyed pea,Powdery mildew,Sphaerotheca fuliginea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
bluegrass,Brown patch (large patch or Rhizoctonia blight ),Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bluegrass,Fusarium patch (Microdochium patch or pink snow mold),Microdochium nivale,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfuspatch.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfuspatspore.jpg,"annual bluegrass (a common weed in turf), creeping bentgrass, kentucky bluegrass","fusarium patch develops as circular patches 1 to 6 inches (2.5 - 15 cm) wide. leaves appear watersoaked and are reddish-brown on the outside progressing to a straw color in the center. dead leaves may have gelatinous spore masses. white or pink fungal threads may be observed in the early morning, giving the turf a pink cast.",cool temperatures (40° to 60°f) and moist conditions favor fusarium patch. high nitrogen applications in the fall and neutral or alkaline soils also contribute to disease development. fusarium patch survives in grass residues.,"reduce shade and provide good soil aeration and water drainage. irrigate at the recommended frequency for your turf species and avoid excess nitrogen fertilizer, especially in the fall. maintain a soil ph between 6.5 and 6.7. you may need to have a professional soil analysis done to help you determine what amendments to add to maintain an ideal ph. high levels of potassium suppress disease. if fusarium patch has been a serious problem in the past, have a licensed pest control applicator apply a fungicide in the fall before symptoms appear.",,,,,,,
bluegrass,Large patch (brown patch or Rhizoctonia blight ),Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bluegrass,Leaf spot,Bipolaris spp.,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dislfspt.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass","infected leaves, sheaths and stems have circular to elongated brownish spots with brown centers and dark brown or purple borders. crowns and roots have a dark brown rot. symptoms may occur throughout the lawn rather than in clumped areas. plants may die in hot, windy weather, leaving thinned areas throughout the turf.",warm temperatures (70° to 90°f) and high humidity favor the development of leaf spot. weakened turf may be the result of poor cultural practices. mowing too short and applying high amounts of nitrogen contribute to the development of the disease.,reduce shade and improve soil aeration and water drainage. follow the recommended irrigation requirements for your turf species and avoid excess nitrogen fertilizer. maintain as high a mowing cut as possible. fungicides are available but usually are not warranted for the home lawn.,,,,,,,
bluegrass,Pink snow mold (Microdochium patch or Fusarium patch),Microdochium nivale,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfuspatch.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfuspatspore.jpg,"annual bluegrass (a common weed in turf), creeping bentgrass, kentucky bluegrass","fusarium patch develops as circular patches 1 to 6 inches (2.5 - 15 cm) wide. leaves appear watersoaked and are reddish-brown on the outside progressing to a straw color in the center. dead leaves may have gelatinous spore masses. white or pink fungal threads may be observed in the early morning, giving the turf a pink cast.",cool temperatures (40° to 60°f) and moist conditions favor fusarium patch. high nitrogen applications in the fall and neutral or alkaline soils also contribute to disease development. fusarium patch survives in grass residues.,"reduce shade and provide good soil aeration and water drainage. irrigate at the recommended frequency for your turf species and avoid excess nitrogen fertilizer, especially in the fall. maintain a soil ph between 6.5 and 6.7. you may need to have a professional soil analysis done to help you determine what amendments to add to maintain an ideal ph. high levels of potassium suppress disease. if fusarium patch has been a serious problem in the past, have a licensed pest control applicator apply a fungicide in the fall before symptoms appear.",,,,,,,
bluegrass,Red thread,Laetisaria fuciformis,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disredthread.jpg,"red fescue, perennial ryegrass","red thread may kill grass in circular to irregular patches 2 to 8 inches (5 - 20 cm) in diameter or it may weaken turf. leaves turn tan in color, giving the turf a scorched appearance. infections on leaves begin at the tip and move down the blade. a pink web of fungal threads binds the leaves together. pink, gelatinous fungal crusts occur on the leaves.",red thread is favored by mild air temperatures (60° to 75°f) and extended periods of leaf wetness. plants deficient in nitrogen during periods of cool temperatures or excess wetness can make the turf more susceptible to infection. in california it occurs primarily in northern and central coastal areas.,follow proper irrigation and fertilization requirements for your turf species. provide adequate air circulation and reduce shading. fungicides should not be needed.,,,,,,,
bluegrass,"Rhizoctonia blight (brown patch, large patch)",Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bluegrass,Summer patch,Magnaporthe poae,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dissummer.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass","summer patch appears as circular yellow or tan areas of dead and dying plants up to 1 foot (30 cm) in diameter. healthy green plants may remain in the center. dark brown or black fungal hyphae develop on roots, crowns, or stolons. vascular discoloration may occur in later stages of the disease.",high temperatures (85° to 95°f) in the late spring favor the development of summer patch. the disease is most severe when the turf is mowed low or when there is excessive soil moisture.,"promote root growth by soil aeration and slow-release nitrogen. improve drainage, reduce compaction, control thatch, and avoid drought stress. follow irrigation recommendations for your turf species. mow at the higher end of the recommended height range for your species. reduce your soil ph if it is higher than 7. a professional soil analysis may be necessary to determine which nutrients are lacking in your soil and can provide you with information about what to add to your soil to maintain an ideal soil ph.",,,,,,,
